No.	Fund	Ref. No.	Project Title	Applicant(s)
349	HMRF - Health and Health Services (former HHSRF)	16172861	Translation and cultural adaption of an eating behaviour questionnaire for assessing the psychological aspects of eating behaviours in Chinese adults	HO Man
350	HMRF - Health and Health Services (former HHSRF)	16172901	Translational meta-analysis of immunotherapy studies in lung and liver cancer	PANG Hei Man Herbert
351	HMRF - Health and Health Services (former HHSRF)	16172911	Revealing epidemiological and demographic contributions to future cancer burden through exploring and projecting recent trends in important cancers in Hong Kong	WONG Irene Oi-ling
352	HMRF - Health and Health Services (former HHSRF)	16173001	Epidemiology, prognosis, risk factors and chemopreventive agents of interval colorectal cancer in Hong Kong	CHEUNG Michael Ka-shing
353	HMRF - Health and Health Services (former HHSRF)	17181121	Investigation on postoperative adjuvant therapy with genipin in delaying hepatocellular carcinoma recurrence	TAN Hor Yue
354	HMRF - Health and Health Services (former HHSRF)	17181771	Developing risk prediction analytics for the Hong Kong Colorectal Cancer Screening Program	WU Joseph
355	HMRF - Health and Health Services (former HHSRF)	17181831	The adjunctive effect of acupuncture for advanced cancer patients in a collaborative model of palliative care: a three-arm pragmatic randomized trial	CHEN Haiyong
356	HMRF - Health and Health Services (former HHSRF)	17182681	Interaction between Chinese medicines and antibiotics in tumour suppression in terms of gut microbiota: dendrobii polysaccharide, a case study	HAN Quan-Bin
357	HMRF - Infectious Disease (former RFCID)	18170022	Theranostics bioprobes for EBV-associated cancer therapy	WONG Ka Leung
358	HMRF - Infectious Disease (former RFCID)	18170902	Maximizing the cost-effectiveness of human papillomavirus (HPV) testing for cervical screening in the context of routine HPV vaccination in Hong Kong	LEUNG Kathy Sze-man
359	HMRF - Health and Health Services (former HHSRF)	18190061	Supportive care needs and telehealth-related perceptions as determinants of intention to use telehealth for supportive oncology care among recently-diagnosed breast cancer survivors	Nelson YEUNG Chun-yiu
360	HMRF - Health and Health Services (former HHSRF)	18190151	Effects of immersive virtual reality for alleviating anxiety, nausea and vomiting among paediatric cancer patients receiving their first chemotherapy: A randomized controlled trial	WONG Cho-lee
361	HMRF - Health and Health Services (former HHSRF)	18190951	RNA N6-methyladenosine methyltransferase-like 3 (METTL3) is a potential therapeutic target for immunotherapy in colorectal cancer	CHEN Huarong
362	HMRF - Health and Health Services (former HHSRF)	18191421	The roles of cell mechanics in targeting soft cancer stem cells and chemoresistance through nanoparticle-delivered drugs	TAN Youhua
363	HMRF - Health and Health Services (former HHSRF)	18191511	Managing fear of cancer recurrence: a qualitative comparison of coping process among Chinese cancer survivors with nonclinical, subclinical, and clinically-significant fear of cancer recurrence	Danielle NG Wing -lam
364	HMRF - Health and Health Services (former HHSRF)	18191641	Delineation of reactive oxygen species (ROS)-mediated signaling pathways involved in developing chemoresistance in ovarian cancer	CHAN Karen
365	HMRF - Health and Health Services (former HHSRF)	18191851	Understanding preferences for low-dose aspirin use in primary prevention of colorectal cancer among clinicians and the general public in Hong Kong: A discrete choice experiment	Esther CHAN Wai-yin
366	HMRF - Health and Health Services (former HHSRF)	18192021	Therapeutic effect of human ??-T-cell-derived-exosomes on nasopharyngeal carcinoma in preclinical models	TU Wenwei
367	HMRF - Health and Health Services (former HHSRF)	18192121	Cancer survivors' perspective towards the feasibility and acceptability of a community-based multi-disciplinary cancer survivorship intervention: A qualitative study.	Wendy LAM Wing-tak
368	HMRF - Health and Health Services (former HHSRF)	18192141	Elucidation of the reversal effect of baicalin on hepatocellular carcinoma-associated cachexia	FENG Yibin
369	HMRF - Health and Health Services (former HHSRF)	18192731	Ranunculi Ternati Radix inhibits STAT3 signaling through upregulating miR-351 to exert anti-melanoma effects	FU Xiuqiong
370	HMRF - Health and Health Services (former HHSRF)	18192921	Mechanistic characterization of the MT2-induced Pgp inhibition and the chemosensitization on combining MT2 with Taxol in treating multi-drug resistant cancer in vitro and in vivo.	LUI Ki
371	HMRF - Infectious Disease (former RFCID)	19181142	Clinical performance of Human Papillomavirus (HPV) genotyping versus PAX1/SOX1 methylation as a triage for high-risk HPV positive women in cervical cancer screening in Hong Kong	CHAN Karen Kar-loen
372	HMRF - Health and Health Services (former HHSRF)	19200731	Electro-acupuncture for the prevention and treatment of oxaliplatin-induced neurotoxicity in colorectal cancer patients: a prospective, randomized, sham-controlled, double-blinded and multicenter study	ZHONG Linda
373	HMRF - Health and Health Services (former HHSRF)	19200741	Use of Si-Jun-Zi-Tang as an adjuvant of temozolomide for treating melanoma	FU Xiuqiong
374	HMRF - Infectious Disease (former RFCID)	20190152	Fibroblast growth factor signaling reprograms genome-wide of 5-hydroxymethylation to potentiate EBV reactivation in EBV-associated carcinomas	LI Lili
375	HMRF - Infectious Disease (former RFCID)	20190432	Characterisation of pathogenetic mechanisms of Epstein-Barr virus-associated T and natural killer cell lymphoproliferative diseases in children	CHIANG Alan Kwok Shing
